Study,Sample,Library,Attempt,R1,R2,Flowcell,Lane,Index Sequence
EXIT-RIF,EC312-398,1,1,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0391_EC312-398_Myco-F5_Mycobacterium_S1_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0391_EC312-398_Myco-F5_Mycobacterium_S1_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC317-399,1,2,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0392_EC317-399_Myco-F5_Mycobacterium_S2_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0392_EC317-399_Myco-F5_Mycobacterium_S2_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC338B-422,1,3,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0393_EC338B-422_Myco-F5_Mycobacterium_S3_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0393_EC338B-422_Myco-F5_Mycobacterium_S3_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC342-423,1,4,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0394_EC342-423_Myco-F5_Mycobacterium_S4_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0394_EC342-423_Myco-F5_Mycobacterium_S4_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC347-424,1,5,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0395_EC347-424_Myco-F5_Mycobacterium_S5_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0395_EC347-424_Myco-F5_Mycobacterium_S5_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC358-427,1,6,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0396_EC358-427_Myco-F5_Mycobacterium_S1_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0396_EC358-427_Myco-F5_Mycobacterium_S1_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC364-429,1,7,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0397_EC364-429_Myco-F5_Mycobacterium_S2_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0397_EC364-429_Myco-F5_Mycobacterium_S2_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC365-430,1,8,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0398_EC365-430_Myco-F5_Mycobacterium_S3_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0398_EC365-430_Myco-F5_Mycobacterium_S3_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC367-431,1,9,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0399_EC367-431_Myco-F5_Mycobacterium_S6_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0399_EC367-431_Myco-F5_Mycobacterium_S6_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC368B-433,1,10,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0400_EC368B-433_Myco-F5_Mycobacterium_S7_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0400_EC368B-433_Myco-F5_Mycobacterium_S7_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC372-434,1,11,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0401_EC372-434_Myco-F5_Mycobacterium_S8_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0401_EC372-434_Myco-F5_Mycobacterium_S8_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC373-435,1,12,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0402_EC373-435_Myco-F5_Mycobacterium_S9_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0402_EC373-435_Myco-F5_Mycobacterium_S9_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC378-454,1,13,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0403_EC378-454_Myco-F5_Mycobacterium_S10_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0403_EC378-454_Myco-F5_Mycobacterium_S10_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC379-455,1,14,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0404_EC379-455_Myco-F5_Mycobacterium_S11_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0404_EC379-455_Myco-F5_Mycobacterium_S11_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC379B-456,1,15,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0405_EC379B-456_Myco-F5_Mycobacterium_S12_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0405_EC379B-456_Myco-F5_Mycobacterium_S12_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC382-458,1,16,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0406_EC382-458_Myco-F5_Mycobacterium_S13_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0406_EC382-458_Myco-F5_Mycobacterium_S13_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC382A-459,1,17,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0407_EC382A-459_Myco-F5_Mycobacterium_S14_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0407_EC382A-459_Myco-F5_Mycobacterium_S14_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC383A-460,1,18,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0408_EC383A-460_Myco-F5_Mycobacterium_S15_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0408_EC383A-460_Myco-F5_Mycobacterium_S15_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC385A-462,1,19,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0409_EC385A-462_Myco-F5_Mycobacterium_S16_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0409_EC385A-462_Myco-F5_Mycobacterium_S16_L005_R2_001.fastq.gz,1,1,1
EXIT-RIF,EC385B-463,1,20,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0410_EC385B-463_Myco-F5_Mycobacterium_S17_L005_R1_001.fastq.gz,/home/shared_data_ghi/CWGSMTB/RawSeqs/01EXIT_RIF/LOT2/160626_K00235_0015_BH7W3FBBXX/Lane5/M_16_F0410_EC385B-463_Myco-F5_Mycobacterium_S17_L005_R2_001.fastq.gz,1,1,1
